Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
5255,0,0000000001101000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5256,0,0000000001101000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5257,0,0000000001101000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5258,0,0000000001101001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5259,0,0000000001101001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5260,0,0000000001101001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5261,0,0000000001101010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5262,0,0000000001101010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5263,0,0000000001101011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5264,0,0000000001101011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5265,0,0000000001101011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5266,0,0000000001101100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5267,0,0000000001101100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5268,0,0000000001101100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5269,0,0000000001101101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5270,0,0000000001101101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5271,0,0000000001101101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5272,0,0000000001101110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5273,0,0000000001101110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5274,0,0000000001101111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5275,0,0000000001101111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5276,0,0000000001101111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5277,0,0000000001110000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5278,0,0000000001110000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5279,0,0000000001110000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5280,0,0000000001110001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5281,0,0000000001110001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5282,0,0000000001110001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5283,0,0000000001110010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5284,0,0000000001110010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5285,0,0000000001110011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5286,0,0000000001110011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5287,0,0000000001110011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5288,0,0000000001110100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5289,0,0000000001110100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5290,0,0000000001110100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5291,0,0000000001110101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5292,0,0000000001110101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5293,0,0000000001110101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5294,0,0000000001110110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5295,0,0000000001110110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5296,0,0000000001110111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5297,0,0000000001110111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5298,0,0000000001110111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5299,0,0000000001111000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5300,0,0000000001111000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5301,0,0000000001111000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5302,0,0000000001111001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5303,0,0000000001111001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5304,0,0000000001111001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5305,0,0000000001111010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5306,0,0000000001111010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5307,0,0000000001111011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5308,0,0000000001111011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5309,0,0000000001111011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5310,0,0000000001111100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5311,0,0000000001111100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5312,0,0000000001111100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
